suid,commits,submissions,latest_submission,env_id,latest_ip,uuid,env_started,env_stopped
amstest0,0,0,,,,,,
amstest1,0,0,,,,,,
amstest2,0,0,,,,,,
amstest3,0,0,,,,,,
amstest4,0,0,,,,,,
amstest5,0,0,,,,,,
amstest6,0,0,,,,,,
amstest7,0,0,,,,,,
0,0,1,2019-11-22 08:12:49.418073,,127.0.0.1,,,
1,0,1,2019-11-22 08:12:49.432701,,127.0.0.1,,,
2,0,1,2019-11-22 08:12:49.446291,,127.0.0.1,,,
3,0,1,2019-11-22 08:12:49.459826,,127.0.0.1,,,
4,0,1,2019-11-22 08:12:49.473786,,127.0.0.1,,,
5,0,1,2019-11-22 08:12:49.488849,,127.0.0.1,,,
6,0,1,2019-11-22 08:12:49.502955,,127.0.0.1,,,
7,0,1,2019-11-22 08:12:49.517038,,127.0.0.1,,,
8,0,1,2019-11-22 08:12:49.531247,,127.0.0.1,,,
9,0,1,2019-11-22 08:12:49.544983,,127.0.0.1,,,
